,APPLICATION TYPE,PERMIT,APPL INIT DATE,ISSUE DATE,APPL FINAL DATE,APPLICANT NAME,ASSESSOR INFO NUMBER,STATISTICAL CLASS CODE,DWELLING ADDED/REMOVED,# OF BUILDING,SQFT,VALUATION,CMP CODE,PERMIT TYPE,COMBINED ADDRESS,WORK DESCRIPTION,PERMIT SUBTYPE,PERMIT STATUS,STATUS DATE
50688,,15016-30000-12530,,9/2/2015,,,,,,,,35000,,Bldg-Alter/Repair,11660 W CHENAULT ST 1-28 90049,Soft-Story Retrofit Seismic Reinforcements Per Lamc Division 93.,Apartment,CofC Corrected,12/12/2017
51978,,15016-30000-23344,,12/18/2015,,,,,,,,40000,,Bldg-Alter/Repair,1634 S FEDERAL AVE 1-5 90025,Voluntary Seismic Retrofit Of Soft Story Carport Which Includes Installation Of Four Cantilever Columns.,Apartment,CofC Issued,6/9/2016
53253,,16016-20000-01655,,4/5/2016,,,,,,,,30000,,Bldg-Alter/Repair,6649 N WILKINSON AVE 1-6 91606,Voluntary Soft-Story Retrofit For The (E) Aparment Building To Install New Moment Frame At The Existing Carport On The 1st Floor In Accordance With Ordinance # 183893.,Apartment,CofC Issued,5/26/2016
53317,,16016-20000-07853,,4/11/2016,,,,,,,,2000,,Bldg-Alter/Repair,11877 W IDAHO AVE 90025,Review That The Previous Soft-Story Retrofit Complies To Div. 93 Under Permit# 11016-20000-04899,Apartment,CofC Issued,5/17/2016
53596,,15016-30000-28461,,4/26/2016,,,,,,,,45000,,Bldg-Alter/Repair,1749 S BUTLER AVE 1-8 90025,Voluntary Soft-Story Seismic Retrofit For An Existing 2-Story Apartment Building.,Apartment,CofC Issued,3/5/2018
54277,,16016-10000-10179,,6/7/2016,,,,,,,,54110,,Bldg-Alter/Repair,10335 W ALMAYO AVE 90064,Voluntary Seismic Soft Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment,Apartment,CofC Issued,7/29/2016
54496,,15016-10000-24059,,6/22/2016,,,,,,,,12000,,Bldg-Alter/Repair,1416 N ECHO PARK AVE BLDG 1 90026,Voluntary Soft-Story Retrofit For Existing 3-Story Duplex.,1 or 2 Family Dwelling,CofC Issued,3/2/2018
54497,,15016-10000-26200,,6/22/2016,,,,,,,,12000,,Bldg-Alter/Repair,1416 N ECHO PARK AVE BLDG 4 90026,Voluntary Soft-Story Retrofit For Existing 3-Story Duplex.,Commercial,Permit Finaled,3/29/2017
54498,,15016-10000-26201,,6/22/2016,,,,,,,,12000,,Bldg-Alter/Repair,1416 N ECHO PARK AVE BLDG 5 90026,Voluntary Soft-Story Retrofit For Existing 3-Story Duplex.,Commercial,Permit Finaled,3/29/2017
54524,,16016-10000-07174,,6/23/2016,,,,,,,,0,,Bldg-Alter/Repair,5929 N LAUREL CANYON BLVD 91607,"Review Structural Plans And Analysis Approved, Permitted And Constructed Under Permit # 14016-10000-01436 - Verify Compliance To Mandatory Soft-Story Retrofit Ordinance - Lamc Division 93.   ",Apartment,CofC Issued,8/10/2016
54525,,16016-10000-07171,,6/23/2016,,,,,,,,0,,Bldg-Alter/Repair,5430 N CORTEEN PL 91607,"Review Structural Plans And Analysis Approved, Permitted And Constructed Under Permit # 14016-10000-07014 - Verify Compliance To Mandatory Soft-Story Retrofit Ordinance - Lamc Division 93.   ",Apartment,CofC Issued,8/10/2016
54526,,16016-10000-07166,,6/23/2016,,,,,,,,0,,Bldg-Alter/Repair,20311 W SHERMAN WAY 91306,"Review Structural Plans And Analysis Approved, Permitted And Constructed Under Permit # 12016-10000-03897 - Verify Compliance To Mandatory Soft-Story Retrofit Ordinance - Lamc Division 93.    ",Apartment,CofC Issued,8/8/2016
54565,,15016-10001-10517,,6/28/2016,,,,,,,,0,,Bldg-Alter/Repair,1106 W LEIGHTON AVE 90037,Supplemental Permit To Revise Structural Soft-Story Retrofit Design Per Engineer Of Records Calculations And Details.,Apartment,OK to Issue CofC,9/9/2016
54597,,16016-10000-09152,,6/30/2016,,,,,,,,35000,,Bldg-Alter/Repair,306 N BONNIE BRAE ST 90026,Soft-Story Seismic Retrofit Of Tuck Under Regions Of A 3-Story Apartment Building.,Apartment,CofC Issued,12/13/2017
54601,,16016-10000-01548,,6/30/2016,,,,,,,,40000,,Bldg-Alter/Repair,4922 N KESTER AVE 91403,Soft-Story Retrofit For An Existing 2-Story Apartment Bulding. Install New Ordinary Moment Frame And Shear Walls.,Apartment,CofC Issued,10/6/2016
54603,,16016-10000-12343,,6/30/2016,,,,,,,,0,,Bldg-Alter/Repair,16 E FLEET ST 1-10 90292,Review Engineers Report For Compliance To The Mandatory Soft Story Retrofit Ordinance. Permit Is Only To Issue Certificate Of Compliance. No Construction Work Will Be Done.,Apartment,CofC Issued,7/1/2016
54616,,16016-10000-11476,,7/1/2016,,,,,,,,58670,,Bldg-Alter/Repair,8561 W COLGATE AVE 1-8 90048,Seismic Soft-Story Retrofit Of  The Tuck Under Regions For An Existing 2-Story Apartment Building Using Cantilever Columns,Apartment,CofC Issued,9/29/2016
54624,,16016-10000-12132,,7/5/2016,,,,,,,,40000,,Bldg-Alter/Repair,11718 W MONTANA AVE 1-8 90049,Seismic Soft-Story Retrofit Of The Tuck Under Regions Of An Existing 2-Story Apartment Building. Voluntary Cripple Wall Strengthening,Apartment,CofC Issued,10/20/2016
54637,,16016-10000-06732,,7/6/2016,,,,,,,,20000,,Bldg-Alter/Repair,1421 N MANSFIELD AVE 90028,Seismic Soft-Story Retrofit For Existing 3-Story Apartment Building Using Cantilever Columns System,Apartment,CofC Issued,11/17/2016
54653,,15016-10000-24511,,7/7/2016,,,,,,,,27000,,Bldg-Alter/Repair,11159 W MORRISON ST 91601,Soft-Story Seismic Retrofit To Front And Rear Of Existing 2-Story Apartment Building.,Apartment,CofC Issued,10/25/2016
54675,,15016-10001-25907,,7/8/2016,,,,,,,,0,,Bldg-Alter/Repair,5254 N NEWCASTLE AVE 1-77 91316,Supplemental Permit To 15016-10000-25907 To Revise Engineer'S Plans And Details For Mandatory Soft-Story Retrofit. ,Apartment,CofC Issued,9/23/2016
54676,,15016-10001-25903,,7/8/2016,,,,,,,,0,,Bldg-Alter/Repair,5300 N NEWCASTLE AVE 91316,Supplemental Permit To 15016-10000-25903 To Revise Engineer'S Plans And Details For Mandatory Soft-Story Retrofit.,Apartment,CofC Issued,9/9/2016
54732,,15016-10000-22766,,7/13/2016,,,,,,,,40000,,Bldg-Alter/Repair,11280 W HUSTON ST 91601,"Soft-Story Retrofit Along The West Side Of Existing 2-Story Apartment Building.	",Apartment,CofC Issued,2/28/2018
54751,,16016-10000-13545,,7/14/2016,,,,,,,,39000,,Bldg-Alter/Repair,5659 N HALBRENT AVE 91411,Soft Story Seismic Retrofit Of The Tuck Under Regions Of A Two Story Apartment Building Using Moment Frames,Apartment,CofC Issued,9/14/2016
54752,,15016-10001-24510,,7/14/2016,,,,,,,,0,,Bldg-Alter/Repair,5301 N NEWCASTLE AVE 91316,Supplemental Permit To 15016-10000-24510 To Revise Moment Frame Location At Interior Courtyard And Engineering Details For Soft-Story Retrofit Of An Existing 2-Story Apartment Building.,Apartment,CofC Issued,9/23/2016
54753,,15016-10001-25905,,7/14/2016,,,,,,,,0,,Bldg-Alter/Repair,5500 N NEWCASTLE AVE 91316,Supplemental Permit To 15016-10000-25905 To Revise Moment Frame Location And Engineering Details For Soft-Story Retrofit For Existing 2-Story Apartment Building.,Apartment,CofC Issued,9/23/2016
54759,,16016-10000-14193,,7/14/2016,,,,,,,,70000,,Bldg-Alter/Repair,519 S GLENROCK AVE 1-18 90024,Soft-Story Seismic Retrofit At The Rear Tuck-Under Parking For An Existing 4-Story Apartment Building.,Apartment,CofC Issued,8/23/2016
54764,,16016-10000-12762,,7/14/2016,,,,,,,,50000,,Bldg-Alter/Repair,10941 W OPHIR DR 1-16 90024,Seismic Soft-Story  Retrofit Of The Tuck Under Regions Of A 3 Story Apartment Building Using Moment Frames,Commercial,CofC Issued,11/8/2016
54805,,16016-10000-16650,,7/19/2016,,,,,,,,0,,Bldg-Alter/Repair,122 N WETHERLY DR 90048,Verify That The Existing Building As Is Meets The Minimum Standards Of Lamc Division 93. (Mandatory Soft-Story Retrofit Ordinance).,Apartment,CofC Issued,7/26/2016
54878,,15016-10001-18342,,7/26/2016,,,,,,,,0,,Bldg-Alter/Repair,14535 W SATICOY ST 91405,Supplemental To 15016-10000-18342:  Structural Revision For Mandatory Soft Story Retrofit,Apartment,CofC Issued,3/29/2017
54879,,15016-10001-18990,,7/26/2016,,,,,,,,0,,Bldg-Alter/Repair,14547 W SATICOY ST 1-30 91405,Supplemental Permit To 15016-10000-18990 To Revise Structural Design And Details For Mandatory Soft-Story Retrofit Compliance.,Apartment,OK to Issue CofC,3/29/2017
54893,,15016-10001-24047,,7/26/2016,,,,,,,,0,,Bldg-Alter/Repair,14654 W RAYEN ST 91402,Supplemental Permit To 15016-10000-24047 To Revise Moment Frame Location Per Engineer'S Design For Soft-Story Retrofit.,Apartment,CofC Issued,10/14/2016
54922,,16016-10000-15927,,7/28/2016,,,,,,,,0,,Bldg-Alter/Repair,8811 N WOODMAN AVE 91331,Verify Previously Done Soft Story Retrofit For Compliance With Labc2014  Div 93.,Apartment,OK to Issue CofC,9/22/2016
54923,,16016-10000-15929,,7/28/2016,,,,,,,,0,,Bldg-Alter/Repair,8825 N WOODMAN AVE 91331,Verify Compliance Of Previously Done Soft Story Retrofit With Provisions Of Labc 2014 Div93. ,Apartment,OK to Issue CofC,9/22/2016
54925,,16016-10000-14028,,7/28/2016,,,,,,,,30000,,Bldg-Alter/Repair,3662 S MENTONE AVE 1-9 90034,Seismic Soft Story Retrofit Of The Tuck Under Regions Of An Existing 2-Story Apartment Using Moment Frames,Apartment,CofC Issued,10/11/2016
54928,,15016-10000-23097,,7/28/2016,,,,,,,,130000,,Bldg-Alter/Repair,11930 W DOROTHY ST 1-8 90049,Voluntary Soft-Story Retrofit Along West Side Of Existing 2-Story Apartment Building.,Apartment,CofC Issued,9/27/2016
54931,,15016-10001-24044,,7/29/2016,,,,,,,,0,,Bldg-Alter/Repair,7305 N KESTER AVE 91405,Supplemental Permit To 15016-10000-24044 To Revise Moment Frame Location And Details Per Engineer'S Design For Soft-Story Seismic Retrofit.,Apartment,CofC Issued,11/10/2016
54993,,16016-10000-11252,,8/4/2016,,,,,,,,15000,,Bldg-Alter/Repair,861 S WESTGATE AVE 90049,Voluntary Seismic Soft-Story Retrofit Of The Tuck Under Parking Regions Of An Existing Single Family Dwelling Using Cantilever Columns.,1 or 2 Family Dwelling,CofC Issued,2/17/2018
55031,,16016-10000-14026,,8/8/2016,,,,,,,,40000,,Bldg-Alter/Repair,10944 W PALMS BLVD 90034,Soft-Story Retrofit At The Tuck-Under Parking At The Rear For An Existing 2-Story Apartment.,Apartment,CofC Issued,10/17/2016
55072,,16016-10001-01274,,8/11/2016,,,,,,,,0,,Bldg-Alter/Repair,1623 N FORMOSA AVE 90046,Supplemental To Permit # 16016-20000-01274 (For Soft-Story Seismic Retrofit Per Lamc Div 93)  To Update Plans To Match Existing Conditions.,Apartment,OK to Issue CofC,4/24/2017
55073,,16016-10000-16794,,8/11/2016,,,,,,,,42000,,Bldg-Alter/Repair,1450 S MIDVALE AVE 1-35 90024,Soft-Story Retrofit Of The Tuck Under Regions Of An Existing Apartment Building Using Moment Frames,Apartment,CofC Issued,3/16/2018
55089,,15016-10001-24056,,8/11/2016,,,,,,,,0,,Bldg-Alter/Repair,3335 S MILITARY AVE 1-10 90034,Supplemental Permit To 15016-10000-24056 To Change Soft-Story Retrofit Design. Remove One Moment Frame And Install Special Cantilevered Column System Per Engineer'S Design. ,Apartment,Issued,8/11/2016
55118,,16016-10000-15313,,8/12/2016,,,,,,,,0,,Bldg-Alter/Repair,2615 E GLEASON AVE 1-6 90033,Review Engineer'S Report For Compliance To The Mandatory Soft Story Retrofit Ordinance. Permit Is Only To Issue A Certificate Of Compliance. No Construction Work Will Be Done.,Apartment,CofC Corrected,12/12/2017
55223,,16016-10000-15147,,8/19/2016,,,,,,,,25000,,Bldg-Alter/Repair,11089 W STRATHMORE DR 1-8 90024,Soft-Story Retrofit Of The Tuck Under Regions Of A 3 Story Apartment Building Using Steel Moment Frames,Apartment,CofC Issued,11/16/2016
55258,,16016-10000-14130,,8/23/2016,,,,,,,,10000,,Bldg-Alter/Repair,522 W 21ST ST 90731,Seismic Soft-Story Retrofit Of The Tuck Under Regions Of An Existing 2-Story Apartment. Install (4) New Shearwalls.,Apartment,CofC Issued,3/20/2018
55264,,16016-10001-05823,,8/24/2016,,,,,,,,600,,Bldg-Alter/Repair,1318 N LAS PALMAS AVE 90028,Supplemental Permit To 16016-10000-05823 For Soft-Story Retrofit Structural Revisions. Location Of Moment Frame Changed Fit Existing Building.,Apartment,CofC Issued,11/17/2016
55328,,16016-10000-17995,,8/31/2016,,,,,,,,34000,,Bldg-Alter/Repair,1128 S OAKHURST DR 1-5 90035,Soft Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment Building Using Steel Moment Frames And Plywood Shearwalls,Apartment,CofC Issued,10/19/2016
55329,,16016-10000-17992,,8/31/2016,,,,,,,,29000,,Bldg-Alter/Repair,1118 S OAKHURST DR 1-4 90035,Soft Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment Building Using Steel Moment Frames,Apartment,CofC Issued,10/26/2016
55374,,16016-10000-18001,,9/2/2016,,,,,,,,74700,,Bldg-Alter/Repair,4045 S URSULA AVE 90008,Soft Story Retrofit Of The Tuck Under Regions Of A 3 Story Apartment Building Using Steel Moment Frames,Apartment,CofC Issued,10/28/2016
55375,,16016-10000-17999,,9/2/2016,,,,,,,,46000,,Bldg-Alter/Repair,12401 W ARCHWOOD ST 91606,Soft Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment Building Using Steel Moment Frames,Apartment,CofC Issued,11/10/2016
55402,,16016-10000-10181,,9/7/2016,,,,,,,,59370,,Bldg-Alter/Repair,2258 S BEVERLY GLEN BLVD 1-7 90064,Seismic Soft Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment Building Using Cantilever Column System,Apartment,CofC Issued,10/20/2016
55403,,16016-10000-14272,,9/7/2016,,,,,,,,54600,,Bldg-Alter/Repair,12237 W MOORPARK ST 1-7 91604,Seismic Soft Story Retrofit Of The Tuck Under Regions Of An Existing 2-Story Apartment Using Cantilever Column System,Apartment,CofC Issued,10/27/2016
55431,,16016-10001-11341,,9/8/2016,,,,,,,,0,,Bldg-Alter/Repair,419 S COMMONWEALTH AVE 1-12 90020,Supplemental To Permit Number 16016-10001-11341 To Make Changes On The Details And Relocating A Moment To Face Of The Building. Original Permit Application # 16016-10000-11341 Is For Soft Story Retrofit Per Lamc Div 93.,Apartment,Permit Finaled,2/12/2018
55492,,16016-10000-13928,,9/14/2016,,,,,,,,60000,,Bldg-Alter/Repair,20356 W COHASSET ST 91306,Soft Story Seismic Retrofit Of The Tuck Under Regions Of A 3 Story Apartment Building Using Cantilever Columns,Apartment,CofC Issued,10/31/2016
55562,,16016-10000-06943,,9/21/2016,,,,,,,,30000,,Bldg-Alter/Repair,4471 W ROSEWOOD AVE 1-24 90004,Soft Story Retrofit Of The Tuck Under Regions Of An Existing Apartment Building Using Steel Moment Frames.,Apartment,CofC Issued,12/27/2016
55613,,16016-10000-13835,,9/23/2016,,,,,,,,80000,,Bldg-Alter/Repair,966 N MARIPOSA AVE 1-20 90029,Soft Story Seismic Retrofit Of The Tuck Under Regions Of An Existing 3-Story Apartment Building Using Shearwalls,Apartment,CofC Issued,4/3/2017
55637,,16016-10000-14945,,9/27/2016,,,,,,,,25000,,Bldg-Alter/Repair,5358 W LOMA LINDA AVE 90027,Soft-Story Retrofit Of The Tuck Under Region Of An Existing 2-Story Apartment Using Cantilever Columns And Plywood Shearwall,Apartment,CofC Issued,11/28/2016
55638,,16016-10000-16166,,9/27/2016,,,,,,,,30000,,Bldg-Alter/Repair,1338 N VISTA ST 90046,Soft-Story Retrofit Of The Tuck Under Regions Of An Existing 3-Story Apartment Building Using Cantilever Column Systems,Apartment,CofC Issued,11/4/2016
55683,,16016-10000-20398,,9/29/2016,,,,,,,,19750,,Bldg-Alter/Repair,12018 W HART ST 1-8 91605,Soft Story Retrofit Of The Tuck Under Regions Of An Existing Apartment Building Using Plywood Shearwall,Apartment,CofC Issued,12/19/2016
55788,,16016-10000-23917,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,"4555 W MARTIN LUTHER KING, JR BLVD 90016","Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02303",Apartment,CofC Corrected,12/12/2017
55789,,16016-10000-23928,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,"4551 W MARTIN LUTHER KING, JR BLVD 90016","Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02305",Apartment,CofC Issued,12/12/2017
55790,,16016-10000-23926,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,"4565 W MARTIN LUTHER KING, JR BLVD 90016","Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02306",Apartment,CofC Issued,12/12/2017
55791,,16016-10000-23921,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,3745 S CHESAPEAKE AVE 90016,"Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02307",Apartment,CofC Issued,12/12/2017
55792,,16016-10000-23922,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,3751 S CHESAPEAKE AVE 90016,"Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02308",Apartment,CofC Issued,12/12/2017
55793,,16016-10000-23923,,10/5/2016,,,,,,,,0,,Bldg-Alter/Repair,3755 S CHESAPEAKE AVE 90016,"Verify That The Building Has Been Retrofitted In Accordance To Lamc Div 93, Mandatory Soft-Story Retrofit Under Permit 11016-20000-02309",Apartment,CofC Issued,12/12/2017
55871,,15016-70000-11878,,10/13/2016,,,,,,,,40000,,Bldg-Alter/Repair,6738-6740 N FIGUEROA ST 90042,Soft-Story Seismic Retrofit Per Division 93 For Existing 2-Story Apartment Building. Install New Steel Moment Frames At The Garage Level.,Apartment,CofC Issued,11/9/2017
55880,,16016-10000-17407,,10/14/2016,,,,,,,,90000,,Bldg-Alter/Repair,3618 S CLARINGTON AVE 1-6 90034,Soft-Story Seismic Retrofit Of Tuck Under Regions Of A 2 Story Apartment Building Using Cantilever Column System,Commercial,CofC Issued,3/8/2019
55887,,16016-10000-20713,,10/14/2016,,,,,,,,48000,,Bldg-Alter/Repair,18545 W BURBANK BLVD 91356,Soft Story Retrofit Of The Tuck Under Region Of An Apartment Building Using Cantilever Column Systems,Apartment,CofC Issued,1/17/2017
55989,,16016-10000-23540,,10/24/2016,,,,,,,,82750,,Bldg-Alter/Repair,15611 W PARTHENIA ST 1-17 91343,Soft Story Retrofit Of The Tuck Under Regions Of An Existing Apartment Building Using (4) Plywood Shearwalls. Install One Voluntary Shearwall,Apartment,CofC Issued,12/27/2016
55996,,16016-10000-11151,,10/25/2016,,,,,,,,150000,,Bldg-Alter/Repair,4371 E YORK BLVD 90041,Ssoft-Story Seismic Retrofit Of The Tuck Under Regions Of An Apartment Building Using Plywood Shearwalls. Relocate 7 Parking Spaces For New Shear Walls,Apartment,CofC Issued,3/16/2018
56026,,16016-10000-23506,,10/25/2016,,,,,,,,0,,Bldg-Alter/Repair,2135 N IVAR AVE 1-9 90068,Review Engineer'S Report To Verify The Building Meets The Minimum Requirements Of The Mandatory Soft-Story Retrofit Ordinance. No New Construction Work Is Proposed. Permit Is For Issuance Of A Certificate Of Compliance. ,Apartment,CofC Issued,11/4/2016
56027,,16016-10000-23509,,10/25/2016,,,,,,,,0,,Bldg-Alter/Repair,13994 W FOOTHILL BLVD 91342,Review Engineer'S Report To Verify The Building Meets The Minimum Requirements Of The Mandatory Soft-Story Retrofit Ordinance. No New Construction Work Is Proposed. Permit Is For Issuance Of A Certificate Of Compliance.,Apartment,CofC Issued,10/28/2016
56068,,16016-10000-17118,,10/27/2016,,,,,,,,20000,,Bldg-Alter/Repair,3900 W 1ST ST 90004,Soft-Story Retrofit Of The Tuck Under Regions Of A 3 Story Apartment Building Using Cantilever Column System,Apartment,CofC Issued,3/8/2017
56069,,16016-10000-17117,,10/27/2016,,,,,,,,40000,,Bldg-Alter/Repair,4120-4124 W NORMAL AVE 90029,Soft-Story Retrofit Of The Tuck Under Regions Of A 2 Story Apartment Building Using Cantilever Column Systems,Apartment,CofC Issued,2/14/2017
56094,,16016-10000-21754,,10/28/2016,,,,,,,,20000,,Bldg-Alter/Repair,6134 N HAZELTINE AVE 1-6 91401,Soft Story Retrofit Of The Tuck Under Regions Of An Apartment Building Using Cantilever Column System,Apartment,CofC Issued,2/21/2017
56134,,16016-10000-19735,,11/2/2016,,,,,,,,10000,,Bldg-Alter/Repair,18308 W RAYEN ST 91325,Soft Story Retrofit Of The Tuck Under Regions Of The 3 Story Apartment Building Using Plywood Shear Walls,Apartment,CofC Issued,2/7/2018
56166,,16016-10000-19871,,11/3/2016,,,,,,,,0,,Bldg-Alter/Repair,825 W ADAMS BLVD 90007,Review Engineer'S Plans And Calculations Under Application 15016-10000-10044 For Compliance With Mandatory Soft-Story Retrofit. Permit Is For Issuance Of A Certificate Of Compliance.,Apartment,CofC Issued,2/6/2019
